Date,Close,High,Low,Open,Volume
2011-03-25,35851.2734375,36014.764586726385,35571.00289596905,36014.764586726385,6
2011-03-28,36341.7421875,36365.09806294184,35827.912927779566,35921.336429546915,7
2011-03-29,35010.4609375,36341.74597648432,34917.03742599233,36341.74597648432,9
2011-03-30,33609.09765625,34052.859195839126,33445.60656271716,33889.36810230629,24
2011-03-31,33282.12890625,33655.82298519737,33141.99362664474,33609.11122532895,20
2011-04-01,32604.8046875,32628.16056478331,31390.29906876791,32628.16056478331,21
2011-04-04,30362.640625,31133.38457932692,30362.640625,30783.04641826923,18
2011-04-05,30456.064453125,31203.452537864265,30105.72628840347,31203.452537864265,17
2011-04-06,30035.658203125,30456.063994459564,29451.761270715884,29802.099430161354,26
2011-04-07,29825.453125,30385.994139095536,29475.11499119029,30035.656005285826,30
2011-04-08,29755.390625,30035.66118033752,28891.22307937598,29171.4936347135,13
2011-04-11,29848.8125,30175.794796557122,28867.86561032864,29638.609595070426,15
2011-04-12,31647.21484375,31880.773624884685,30759.69147543819,31250.16491582103,35
2011-04-13,30129.08203125,30923.181867732557,29755.387990552324,30923.181867732557,23
2011-04-14,29732.03125,30549.48694029851,29732.03125,30339.284048507463,15
2011-04-15,29568.541015625,30012.30268963517,29381.69399498914,29475.11750530707,15
2011-04-18,30409.353515625,31904.129725302417,30269.218245967742,31039.96222908266,31
2011-04-19,29708.67578125,30596.199114337658,29638.608149690448,30596.199114337658,12
2011-04-20,28681.017578125,28844.508720671314,28260.6117830059,28283.96766051252,17
2011-04-21,28283.966796875,28587.593195189926,28190.543289701174,28517.52556480956,12
2011-04-25,28097.123046875,28704.375914056007,28050.411287861076,28167.190685395886,15
2011-04-26,28657.662109375,28891.220887772513,28190.544552579973,28283.968063938977,11
2011-04-27,29194.84375,30292.569875,29194.84375,29194.84375,19
2011-04-28,29591.8984375,30199.151286256907,29591.8984375,29965.59249827348,6
2011-04-29,29054.708984375,29732.0293706667,28587.591476587622,29732.0293706667,9
